ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20230517,1701.0,0.1336,0.3054,0.81,34.0707,32.2455,9.7894,17.2183,16.3664,2.5623,2.5623,125619.78,125619.78,54925.3243,213679245.78,213679245.78
600519.SH,20230516,1703.29,0.1769,0.4046,1.0,34.1166,32.2889,9.8026,17.2415,16.3884,2.5589,2.5589,125619.78,125619.78,54925.3243,213966915.0762,213966915.0762
600519.SH,20230515,1716.3,0.2049,0.4686,1.09,34.3771,32.5355,9.8775,17.3732,16.5136,2.5395,2.5395,125619.78,125619.78,54925.3243,215601228.414,215601228.414
600519.SH,20230512,1706.4,0.1549,0.3543,0.82,34.1789,32.3479,9.8205,17.273,16.4183,2.5542,2.5542,125619.78,125619.78,54925.3243,214357592.592,214357592.592
600519.SH,20230511,1717.07,0.1214,0.2776,0.58,34.3926,32.5501,9.8819,17.381,16.521,2.5383,2.5383,125619.78,125619.78,54925.3243,215697955.6446,215697955.6446
600519.SH,20230510,1725.0,0.1654,0.3782,0.76,34.5514,32.7005,9.9275,17.4613,16.5973,2.5267,2.5267,125619.78,125619.78,54925.3243,216694120.5,216694120.5
600519.SH,20230509,1722.0,0.2339,0.5349,1.1,34.4913,32.6436,9.9103,17.4309,16.5684,2.5311,2.5311,125619.78,125619.78,54925.3243,216317261.16,216317261.16
600519.SH,20230508,1720.52,0.2641,0.6039,1.3,34.4617,32.6155,9.9018,17.4159,16.5542,2.5332,2.5332,125619.78,125619.78,54925.3243,216131343.8856,216131343.8856
600519.SH,20230505,1750.0,0.1649,0.3771,0.81,35.0521,33.1744,10.0714,17.7143,16.8378,2.4906,2.4906,125619.78,125619.78,54925.3243,219834615.0,219834615.0
600519.SH,20230504,1749.9,0.2186,0.5001,1.14,35.0501,33.1725,10.0708,17.7133,16.8369,2.4907,2.4907,125619.78,125619.78,54925.3243,219822053.022,219822053.022
600519.SH,20230428,1760.52,0.2088,0.4775,1.16,35.2629,33.3738,10.132,17.8208,16.9391,2.4757,2.4757,125619.78,125619.78,54925.3243,221156135.0856,221156135.0856
600519.SH,20230427,1757.92,0.2038,0.4662,1.2,35.2108,33.3245,10.117,17.7945,16.914,2.4794,2.4794,125619.78,125619.78,54925.3243,220829523.6576,220829523.6576
600519.SH,20230426,1743.91,0.222,0.5072,1.49,34.9302,33.0589,10.0364,17.6527,16.7792,2.4993,2.4993,125619.78,125619.78,54993.9227,219069590.5398,219069590.5398
